cum_1d,cum_3d,cum_7d,cum_15d,duration_days,storm_intensity_mm_day,latitude,longitude,label
18.3,139.5,225.6,263.8,13,20.192307692307693,25.3612,92.2845,1
10.1,54.699999999999996,84.8,131.1,4,14.7,25.7354,90.3852,1
4.7,96.5,155.3,203.4,7,22.185714285714287,25.8143,90.5763,1
19.0,48.3,153.0,312.7,15,20.846666666666668,26.1966,91.802,1
37.1,140.8,171.8,265.1,5,33.9,26.1097,91.7747,1
37.1,140.8,171.8,265.1,5,33.9,26.1001,91.6849,1
12.5,38.7,162.8,284.3,15,18.953333333333333,26.1699,91.7986,1
0.0,0.0,30.8,72.3,1,0.0,25.178619,92.012806,1
8.8,18.3,201.4,399.6,15,26.64,25.82601444,91.87113067,1
0.0,0.0,0.0,0.5,1,0.0,26.191688,91.810079,1
41.4,102.1,263.8,307.8,9,29.766666666666666,25.43807422,91.79904872,1
0.0,0.1,2.0,5.0,1,0.0,25.51826286,91.9630294,1
1.3,46.8,170.5,199.5,9,20.566666666666666,26.16066111,91.85294885,1
15.1,36.2,36.7,102.5,2,17.95,25.092576,91.763689,1
56.6,97.7,246.20000000000002,316.7,15,21.113333333333333,25.67836832,91.9234343,1
0.3,10.6,38.9,73.8,1,0.3,25.167803,92.019575,1
0.0,0.0,0.0,0.0,1,0.0,25.08734272,91.75063827,1
23.1,74.9,291.4,440.1,15,29.34,25.82860033,91.876717,1
1.9,4.8,63.7,229.3,2,2.2,25.61919207,92.7094701,1
0.0,0.0,0.0,0.5,1,0.0,26.181606,91.772042,1
0.1,0.7,1.8,1.9,1,0.1,26.20450454,91.87202793,0
0.0,0.7,0.7,1.9,1,0.0,26.22247247,91.92053028,0
31.4,111.4,196.8,486.6,15,32.440000000000005,26.1061808,91.85158907,0
3.0,7.1000000000000005,27.1,28.3,2,3.1,26.10430759,91.86227824,0
5.8,48.4,135.5,380.2,15,25.346666666666668,25.907233,91.881892,0
0.0,0.0,4.7,13.100000000000001,1,0.0,26.10035658,91.87351723,0
0.0,0.0,0.7,2.7,1,0.0,26.14547804,91.79364785,0
0.0,1.9,4.1000000000000005,4.1000000000000005,1,0.0,25.8833,91.2,0
0.0,10.7,58.1,413.1,1,0.0,25.5728,91.885,0
0.0,1.1,1.1,1.1,1,0.0,25.9703,91.8584,0
0.1,4.4,29.6,34.0,1,0.1,25.5145,90.2023,0
0.4,0.4,0.4,23.7,1,0.4,25.38,91.88,0
1.9,4.0,88.2,129.6,2,1.6,26.1548,91.7351,0
0.3,3.5,9.4,23.4,1,0.3,26.09748244,91.8744337,0
11.9,63.3,230.4,849.5,15,56.63333333333333,25.1622,92.0104,0
46.1,56.7,125.5,182.9,8,16.212500000000002,26.149,91.7351,0
12.9,17.6,63.6,279.1,2,8.6,26.1475,91.7356,0
0.0,0.1,0.1,1.3,1,0.0,26.1985,91.7998,0
7.6,11.0,27.0,33.0,3,3.6666666666666665,25.203,90.5573,0
0.8,35.6,96.0,247.7,1,0.8,26.1314,91.7548,0
0.3,7.7,20.8,50.9,1,0.3,26.1666,91.7042,0
0.0,0.0,2.4,2.4,1,0.0,25.0821,91.7783,0
0.0,5.9,10.1,10.8,1,0.0,25.1472,91.7483,0
3.6,12.3,20.2,73.8,4,3.55,26.1407,91.7645,0
0.2,0.7,2.8,142.7,1,0.2,25.5114,90.215,0
8.4,15.700000000000001,43.0,97.6,1,8.4,25.9611,91.3681,0
0.0,0.0,0.6,1.2,1,0.0,26.1978,91.7665,0
3.4,3.4,3.4,15.4,1,3.4,26.19037705,91.77306002,0
0.5,0.5,0.7,0.8,1,0.5,25.463,92.2121,0
0.0,0.0,0.0,0.0,1,0.0,26.1062,91.8717,0
0.0,3.6,83.10000000000001,101.8,1,0.0,25.5006,90.0896,0
12.6,21.0,62.199999999999996,176.9,2,10.399999999999999,26.1662,91.7138,0
15.2,43.4,64.9,184.1,5,10.459999999999999,26.1324,91.8342,0
3.7,28.4,55.0,136.8,15,9.120000000000001,25.2568,92.3825,0
0.0,0.0,0.0,4.3999999999999995,1,0.0,26.1295,91.7056,0
0.0,1.2000000000000002,2.8,5.2,1,0.0,26.1963,91.8074,0
0.3,0.3,0.8,2.1,1,0.3,26.159,91.8178,0
17.7,40.199999999999996,84.2,203.0,15,13.533333333333333,26.1868,91.6739,0
7.2,22.700000000000003,33.4,86.0,5,6.44,25.4916,91.2698,0
0.0,1.9,6.800000000000001,12.9,1,0.0,26.1619,91.7697,0
3.9,16.4,38.0,255.1,15,17.006666666666668,25.0951,92.3567,0
8.1,14.6,78.0,293.9,15,19.59333333333333,25.5576,91.8506,0
6.1,32.7,162.0,405.3,15,27.02,25.5772,91.8666,0
9.1,43.2,67.4,115.3,6,11.083333333333334,25.5498,92.0757,0
0.5,0.5,2.7,38.6,1,0.5,25.7238,89.9032,0
0.0,0.4,2.3,29.2,1,0.0,26.1844,91.7896,0
5.7,20.1,38.2,60.1,3,6.7,26.10973183,91.80317334,0
0.0,0.0,0.0,4.1,1,0.0,25.1416,92.3807,0
8.2,21.7,40.099999999999994,158.6,15,10.573333333333332,26.1961,91.7825,0
0.0,0.1,15.4,50.9,1,0.0,25.0728,92.3636,0
7.6,13.7,31.3,48.7,2,6.4,26.1044,91.7082,0
20.8,32.3,57.4,190.4,15,12.693333333333333,26.1771,91.7599,0
0.0,0.0,3.1,28.2,1,0.0,26.1226,91.7162,0
7.3,13.6,27.7,46.2,1,7.3,25.583,91.893,0
0.0,0.0,0.2,0.2,1,0.0,26.1768,91.7702,0
0.0,0.0,0.0,0.0,1,0.0,25.3433,92.2897,0
14.6,54.4,181.1,408.8,15,27.253333333333334,26.1016,91.6906,0
0.0,0.1,1.6,8.4,1,0.0,26.1965,91.763,0
0.0,0.0,0.0,14.8,1,0.0,26.1028,91.8806,0
0.0,0.0,0.0,0.6000000000000001,1,0.0,25.0318,92.4584,0
0.0,3.4,10.2,12.3,1,0.0,26.1049,91.7369,0
7.5,67.6,163.29999999999998,363.1,15,24.206666666666667,26.1309,91.8383,0
24.3,42.0,92.0,418.0,13,31.953846153846158,26.048,91.8695,0
9.0,15.1,67.7,189.0,15,12.6,25.5084,90.2191,0
0.0,15.6,40.6,63.5,1,0.0,25.2193,90.5549,0
34.8,54.699999999999996,62.3,151.1,5,12.0,25.5144,90.2167,0
0.1,0.30000000000000004,25.7,148.8,1,0.1,25.52,91.27,0
0.0,21.8,22.7,22.900000000000002,1,0.0,26.1964,91.7652,0
24.3,111.7,228.3,321.2,12,23.075,26.1833,91.8,0
0.0,0.0,1.9,20.8,1,0.0,25.9702,91.8587,0
0.0,0.0,0.0,0.6,1,0.0,25.5212,90.232,0
0.0,0.0,0.0,0.0,1,0.0,26.1665,91.7049,0
0.0,0.0,0.0,0.0,1,0.0,26.1468,91.6469,0
0.0,0.0,4.8,5.1,1,0.0,25.3612,92.2845,0
0.0,0.0,0.0,6.1,1,0.0,25.7354,90.3852,0
2.4,23.2,74.5,138.9,15,9.26,25.8143,90.5763,0
3.4,9.6,32.699999999999996,50.6,3,3.1999999999999997,26.1966,91.802,0
0.9,1.5,3.8000000000000003,5.8,1,0.9,26.1097,91.7747,0
1.4,5.699999999999999,6.699999999999999,6.699999999999999,2,2.5999999999999996,26.1001,91.6849,0
2.5,19.1,78.3,409.9,15,27.326666666666664,26.1699,91.7986,0
2.1,20.2,32.9,368.7,15,24.58,25.178619,92.012806,0
4.5,33.599999999999994,43.4,52.1,5,8.36,25.82601444,91.87113067,0
1.0,2.2,9.4,55.5,1,1.0,26.191688,91.810079,0
3.1,18.4,84.89999999999999,186.6,8,11.075,25.43807422,91.79904872,0
